LG	Marker	Position
0	Affx-86808013	514945
0	Affx-86841688	515360
0	Affx-86808012	515485
0	Affx-86804030	523476
0	Affx-86824312	525259
0	Affx-86831942	528929
0	Affx-86817019	529637
0	Affx-86787915	530754
0	Affx-86837183	530820
0	Affx-86838193	533486
0	Affx-86789790	536654
0	Affx-86785962	550916
0	Affx-86790913	552882
0	Affx-86783085	557775
0	Affx-86809520	558954
0	Affx-86798154	559325
0	Affx-86814368	563323
0	Affx-86814366	565189
0	Affx-86777787	565280
0	Affx-86814370	567510
0	Affx-86819818	568443
0	Affx-86792209	617026
0	Affx-86799568	642138
0	Affx-86803665	642894
0	Affx-86803664	642942
0	Affx-86803663	643007
0	Affx-86812381	643424
0	Affx-86803662	643992
0	Affx-86812379	644316
0	Affx-86803661	644338
0	Affx-86780282	644636
0	Affx-86798750	644904
0	Affx-86803670	645119
0	Affx-86803668	645228
0	Affx-86803667	645261
0	Affx-86791256	645438
0	Affx-86803666	645774
0	Affx-86803669	646162
0	Affx-86797239	647716
0	Affx-86776272	648213
0	Affx-86783409	648990
0	Affx-86838393	649314
0	Affx-86821359	649465
0	Affx-86780368	675255
0	Affx-86792450	675389
0	Affx-86819292	675544
0	Affx-86795650	675976
0	Affx-86824458	691107
0	Affx-86836107	693272
0	Affx-86789973	694127
0	Affx-86783146	697722
0	Affx-86823355	698084
0	Affx-86809414	698473
0	Affx-86840579	698526
0	Affx-86796364	698865
0	Affx-86838879	700967
0	Affx-86785771	701017
0	Affx-86789871	701267
0	Affx-86803621	701754
0	Affx-86803620	702052
0	Affx-86803619	702496
0	Affx-86796540	702861
0	Affx-86803618	703072
0	Affx-86803617	703219
0	Affx-86803616	703342
0	Affx-86803615	703447
0	Affx-86803614	703559
0	Affx-86803613	704394
0	Affx-86819218	704446
0	Affx-86843564	705689
0	Affx-86803622	705695
0	Affx-86829759	705760
0	Affx-86789067	731393
0	Affx-86838648	749332
0	Affx-86839642	749383
0	Affx-86819759	750679
0	Affx-86780183	763215
0	Affx-86812473	763266
0	Affx-86800457	764761
0	Affx-86779566	765063
0	Affx-86832965	768318
0	Affx-86811475	777626
0	Affx-86798423	779055
0	Affx-86811469	779182
0	Affx-86811470	779439
0	Affx-86811472	779531
0	Affx-86814258	779860
0	Affx-86843134	780131
0	Affx-86777938	780274
0	Affx-86826228	791311
0	Affx-86797092	791685
0	Affx-86781309	794437
0	Affx-86832788	797116
0	Affx-86807251	798848
0	Affx-86784786	799137
0	Affx-86835408	801512
0	Affx-86796386	802206
0	Affx-86821545	804180
0	Affx-86822253	808323
0	Affx-86834729	838497
0	Affx-86842752	838621
0	Affx-86831121	841775
0	Affx-86798532	855722
0	Affx-86827041	865790
0	Affx-86824467	867870
0	Affx-86833814	907307
0	Affx-86835139	943527
0	Affx-86824369	944089
0	Affx-86843142	954455
0	Affx-86818108	956902
0	Affx-86833011	965181
0	Affx-86843688	965555
0	Affx-86817174	965989
0	Affx-86794566	966338
0	Affx-86787640	969320
0	Affx-86831120	969756
0	Affx-86829608	969961
0	Affx-86837299	970413
0	Affx-86821908	970579
0	Affx-86804296	970663
0	Affx-86804298	993353
0	Affx-86837301	993606
0	Affx-86787638	993926
0	Affx-86784841	994990
0	Affx-86807176	995624
0	Affx-86842879	1004252
0	Affx-86807837	1004641
0	Affx-86835624	1004948
0	Affx-86807839	1005047
0	Affx-86797767	1005269
0	Affx-86784325	1005401
0	Affx-86807825	1006292
0	Affx-86807831	1006456
0	Affx-86807835	1006814
0	Affx-86790569	1009016
0	Affx-86817544	1009098
0	Affx-86806235	1011104
0	Affx-86813255	1042195
0	Affx-86813257	1042508
0	Affx-86813259	1042814
0	Affx-86813262	1044443
0	Affx-86813266	1044575
0	Affx-86794315	1044809
0	Affx-86813275	1046461
0	Affx-86779286	1046556
0	Affx-86813237	1047548
0	Affx-86813221	1048056
0	Affx-86828735	1053356
0	Affx-86788591	1053833
0	Affx-86833817	1089471
0	Affx-86820116	1090179
0	Affx-86778569	1111147
0	Affx-86824643	1111315
0	Affx-86813650	1113110
0	Affx-86778745	1113401
0	Affx-86842635	1114250
0	Affx-86799495	1118031
0	Affx-86799252	1122198
0	Affx-86837359	1128554
0	Affx-86804419	1128758
0	Affx-86804417	1129275
0	Affx-86787490	1130340
0	Affx-86804421	1132461
0	Affx-86811395	1135434
0	Affx-86794702	1135878
0	Affx-86781520	1135993
0	Affx-86811392	1136164
0	Affx-86811394	1136871
0	Affx-86839165	1177583
0	Affx-86836803	1178328
0	Affx-86804347	1204425
0	Affx-86787575	1205586
0	Affx-86809274	1208955
0	Affx-86809276	1209455
0	Affx-86809278	1210294
0	Affx-86790286	1210436
0	Affx-86783264	1211582
0	Affx-86809263	1211969
0	Affx-86809266	1212669
0	Affx-86809269	1212725
0	Affx-86809271	1213087
0	Affx-86842836	1213173
0	Affx-86776719	1237883
0	Affx-86778434	1238575
0	Affx-86788368	1238689
0	Affx-86841721	1238731
0	Affx-86840204	1239086
0	Affx-86813874	1239250
0	Affx-86840056	1240260
0	Affx-86814048	1240375
0	Affx-86829781	1240898
0	Affx-86778202	1241611
0	Affx-86814050	1242788
0	Affx-86839177	1244557
0	Affx-86813327	1244828
0	Affx-86779138	1245151
0	Affx-86776788	1245607
0	Affx-86797203	1245937
0	Affx-86824982	1250211
0	Affx-86787634	1256722
0	Affx-86789254	1257385
0	Affx-86784137	1269919
0	Affx-86808067	1270081
0	Affx-86832944	1271060
0	Affx-86815096	1272467
0	Affx-86790501	1272820
0	Affx-86791691	1273461
0	Affx-86835385	1278526
0	Affx-86787624	1279578
0	Affx-86813011	1280966
0	Affx-86779539	1282056
0	Affx-86791158	1283065
0	Affx-86787625	1287024
0	Affx-86837304	1287839
0	Affx-86804305	1288398
0	Affx-86822376	1288699
0	Affx-86830885	1290786
0	Affx-86842269	1290997
0	Affx-86789968	1291943
0	Affx-86799632	1295736
0	Affx-86813292	1299880
0	Affx-86820745	1300929
0	Affx-86794549	1301317
0	Affx-86779208	1301876
0	Affx-86833830	1302462
0	Affx-86829780	1305747
0	Affx-86841787	1305861
0	Affx-86798177	1305957
0	Affx-86838976	1326479
0	Affx-86816596	1379878
0	Affx-86821534	1403186
0	Affx-86777804	1467659
0	Affx-86815422	1476694
0	Affx-86833504	1525851
0	Affx-86786111	1526091
0	Affx-86808571	1553102
0	Affx-86800140	1554634
0	Affx-86783770	1554943
0	Affx-86791794	1558929
0	Affx-86821824	1559904
0	Affx-86791625	1566115
0	Affx-86823991	1569811
0	Affx-86810207	1570619
0	Affx-86782615	1570697
0	Affx-86782714	1574889
0	Affx-86810074	1575558
0	Affx-86831957	1575872
0	Affx-86810075	1577100
0	Affx-86828850	1614638
0	Affx-86791394	1679844
0	Affx-86796974	1682574
0	Affx-86843549	1683445
0	Affx-86837091	1686130
0	Affx-86788156	1687263
0	Affx-86781915	1689054
0	Affx-86811075	1689141
0	Affx-86783661	1691247
0	Affx-86808716	1691558
0	Affx-86820151	1691613
0	Affx-86831294	1695754
0	Affx-86814796	1707262
0	Affx-86814794	1708124
0	Affx-86814792	1708323
0	Affx-86814789	1708421
0	Affx-86777273	1709079
0	Affx-86843447	1709368
0	Affx-86825942	1709445
0	Affx-86814798	1711201
0	Affx-86799600	1711797
0	Affx-86826865	1716522
0	Affx-86825029	1727520
0	Affx-86798481	1729185
0	Affx-86790590	1731253
0	Affx-86837634	1731399
0	Affx-86786835	1731857
0	Affx-86835425	1731984
0	Affx-86785102	1786584
0	Affx-86806839	1787983
0	Affx-86810131	1790736
0	Affx-86810129	1790926
0	Affx-86819359	1791126
0	Affx-86810127	1792317
0	Affx-86782665	1792653
0	Affx-86776651	1792727
0	Affx-86821945	1792978
0	Affx-86813069	1793998
0	Affx-86813071	1794266
0	Affx-86777560	1800884
0	Affx-86814553	1801284
0	Affx-86826809	1834837
0	Affx-86838932	1834956
0	Affx-86837678	1835751
0	Affx-86800436	1835897
0	Affx-86808963	1836634
0	Affx-86783466	1837357
0	Affx-86825445	1845694
0	Affx-86792073	1845996
0	Affx-86778093	1846424
0	Affx-86814132	1846464
0	Affx-86816760	1855372
0	Affx-86794231	1857356
0	Affx-86826511	1879553
0	Affx-86797378	1881779
0	Affx-86824546	1882581
0	Affx-86785243	1939728
0	Affx-86806667	1939794
0	Affx-86799358	1940410
0	Affx-86822315	1941476
0	Affx-86831058	1955609
0	Affx-86782949	1985320
0	Affx-86840972	1985421
0	Affx-86809731	1987170
0	Affx-86827640	1988629
0	Affx-86794128	1988636
0	Affx-86816023	1996371
0	Affx-86796118	1999217
0	Affx-86779944	2000602
0	Affx-86788755	2003348
0	Affx-86843820	2003520
0	Affx-86838902	2004683
0	Affx-86778192	2028551
0	Affx-86797760	2030268
0	Affx-86819511	2031170
0	Affx-86827695	2034912
0	Affx-86825983	2039239
0	Affx-86794178	2066916
0	Affx-86826938	2114731
0	Affx-86805060	2129906
0	Affx-86786831	2130120
0	Affx-86818886	2130478
0	Affx-86835627	2132171
0	Affx-86794379	2134621
0	Affx-86783986	2134974
0	Affx-86808264	2135175
0	Affx-86797104	2159021
0	Affx-86812687	2159419
0	Affx-86779939	2160958
0	Affx-86816806	2161036
0	Affx-86812684	2161924
0	Affx-86824277	2169745
0	Affx-86788909	2183634
0	Affx-86815338	2188830
0	Affx-86842292	2196622
0	Affx-86843021	2197627
0	Affx-86794826	2197670
0	Affx-86793026	2200170
0	Affx-86818852	2200255
0	Affx-86826654	2202760
0	Affx-86830620	2227563
0	Affx-86789485	2228671
0	Affx-86826740	2228731
0	Affx-86787055	2230328
0	Affx-86799159	2230787
0	Affx-86821474	2233658
0	Affx-86794842	2234451
0	Affx-86811046	2234832
0	Affx-86836685	2235039
0	Affx-86781951	2235059
0	Affx-86780536	2244577
0	Affx-86795119	2246980
0	Affx-86842763	2247152
0	Affx-86827966	2247739
0	Affx-86811900	2250208
0	Affx-86780893	2250316
0	Affx-86816105	2250847
0	Affx-86792857	2250926
0	Affx-86825226	2255458
0	Affx-86814056	2291549
0	Affx-86836587	2385171
0	Affx-86830030	2399106
0	Affx-86796910	2399517
0	Affx-86783170	2399556
0	Affx-86777157	2403544
0	Affx-86813351	2404016
0	Affx-86838370	2405960
0	Affx-86813353	2406435
0	Affx-86779116	2406665
0	Affx-86799663	2406950
0	Affx-86843898	2501328
0	Affx-86826203	2501582
0	Affx-86792460	2538583
0	Affx-86815032	2539014
0	Affx-86836706	2588691
0	Affx-86784419	2646870
0	Affx-86830035	2647336
0	Affx-86807723	2647691
0	Affx-86830674	2678859
0	Affx-86795556	2720049
0	Affx-86829181	2734642
0	Affx-86782651	2735321
0	Affx-86830465	2736081
0	Affx-86826757	2736978
0	Affx-86810155	2738597
0	Affx-86838641	2745081
0	Affx-86810972	2749674
0	Affx-86810974	2750346
0	Affx-86842869	2750924
0	Affx-86810979	2752470
0	Affx-86839249	2755425
0	Affx-86810986	2756062
0	Affx-86810988	2756205
0	Affx-86795833	2756453
0	Affx-86782024	2756919
0	Affx-86810962	2757102
0	Affx-86844014	2757342
0	Affx-86810968	2758555
0	Affx-86810982	2758952
0	Affx-86810984	2759001
0	Affx-86804669	2761332
0	Affx-86804666	2762331
0	Affx-86787230	2764399
0	Affx-86837475	2768266
0	Affx-86836492	2784475
0	Affx-86785388	2844793
0	Affx-86806517	2846648
0	Affx-86796139	2856391
0	Affx-86783927	2857714
0	Affx-86808349	2858356
0	Affx-86816327	2858697
0	Affx-86799348	2862907
0	Affx-86797103	2918577
0	Affx-86824417	2919267
0	Affx-86820674	2920045
0	Affx-86843120	2920305
0	Affx-86840931	3000672
0	Affx-86843001	3001221
0	Affx-86828257	3001793
0	Affx-86828378	3003272
0	Affx-86787686	3005073
0	Affx-86794876	3005907
0	Affx-86804259	3005989
0	Affx-86836884	3006457
0	Affx-86839189	3028093
0	Affx-86795295	3115389
0	Affx-86788367	3121039
0	Affx-86820655	3121216
0	Affx-86794220	3121700
0	Affx-86825119	3122040
0	Affx-86827928	3125089
0	Affx-86777788	3125137
0	Affx-86834996	3143361
0	Affx-86808995	3192805
0	Affx-86808993	3193161
0	Affx-86783450	3193890
0	Affx-86824894	3194291
0	Affx-86840842	3194477
0	Affx-86822883	3201028
0	Affx-86807331	3225158
0	Affx-86784719	3226301
0	Affx-86800387	3226584
0	Affx-86827972	3229837
0	Affx-86832240	3231379
0	Affx-86782851	3232798
0	Affx-86821464	3346196
0	Affx-86817909	3346317
0	Affx-86791984	3346384
0	Affx-86828866	3433080
0	Affx-86834315	3458621
0	Affx-86817436	3459588
0	Affx-86786740	3490050
0	Affx-86823508	3491316
0	Affx-86805155	3492578
0	Affx-86827921	3497991
0	Affx-86794394	3498016
0	Affx-86792596	3500567
0	Affx-86775544	3500852
0	Affx-86816749	3532876
0	Affx-86783025	3532890
0	Affx-86809614	3536639
0	Affx-86819547	3593274
0	Affx-86833114	3742787
0	Affx-86834872	3781979
0	Affx-86838626	3942239
0	Affx-86824655	4023157
0	Affx-86799595	4052187
0	Affx-86784510	4052376
0	Affx-86807604	4054233
0	Affx-86815455	4103035
0	Affx-86792487	4104048
0	Affx-86788035	4104251
0	Affx-86807434	4104485
0	Affx-86782747	4119717
0	Affx-86810031	4120756
0	Affx-86790626	4122593
0	Affx-86805512	4139133
0	Affx-86797983	4140749
0	Affx-86786360	4141853
0	Affx-86820915	4153692
0	Affx-86843814	4154115
0	Affx-86838968	4155042
0	Affx-86795170	4155181
0	Affx-86777578	4160581
0	Affx-86814535	4160632
0	Affx-86775335	4160881
0	Affx-86795264	4161353
0	Affx-86817658	4161874
0	Affx-86781058	4162114
0	Affx-86811767	4163766
0	Affx-86811768	4164520
0	Affx-86799055	4164584
0	Affx-86833927	4204433
0	Affx-86823838	4211105
0	Affx-86830347	4257702
0	Affx-86817139	4259262
0	Affx-86800128	4299471
0	Affx-86837944	4299941
0	Affx-86828385	4301214
0	Affx-86826967	4321534
0	Affx-86818104	4324125
0	Affx-86793014	4386942
0	Affx-86816043	4428236
0	Affx-86815382	4454201
0	Affx-86838167	4454420
0	Affx-86790054	4463460
0	Affx-86827504	4471204
0	Affx-86784340	4519331
0	Affx-86807818	4520170
0	Affx-86807816	4521438
0	Affx-86807814	4521658
0	Affx-86781076	4521792
0	Affx-86827376	4522011
0	Affx-86787534	4524487
0	Affx-86789478	4524887
0	Affx-86815155	4525989
0	Affx-86841069	4526582
0	Affx-86785814	4527323
0	Affx-86788500	4527467
0	Affx-86823713	4527672
0	Affx-86799062	4558618
0	Affx-86783518	4558761
0	Affx-86820140	4721835
0	Affx-86786445	4723062
0	Affx-86790255	4723178
0	Affx-86830217	4725596
0	Affx-86805449	4726606
0	Affx-86778822	4727530
0	Affx-86828979	4736591
0	Affx-86803072	4740292
0	Affx-86803074	4740661
0	Affx-86803078	4743192
0	Affx-86803079	4743280
0	Affx-86803080	4743945
0	Affx-86825298	4745268
0	Affx-86784209	4745342
0	Affx-86803068	4745380
0	Affx-86803069	4745463
0	Affx-86803070	4745649
0	Affx-86803071	4747115
0	Affx-86803073	4749091
0	Affx-86788051	4749249
0	Affx-86803075	4749349
0	Affx-86803076	4749511
0	Affx-86803077	4749850
0	Affx-86803900	4750053
0	Affx-86837126	4750096
0	Affx-86780526	4756251
0	Affx-86812202	4756408
0	Affx-86812204	4756567
0	Affx-86819813	4759075
0	Affx-86776559	4759243
0	Affx-86835207	4828989
0	Affx-86786048	4853595
0	Affx-86793564	4853964
0	Affx-86797967	4854227
0	Affx-86805828	4854289
0	Affx-86836204	4855123
0	Affx-86832001	4908276
0	Affx-86838970	4920207
0	Affx-86816028	4920605
0	Affx-86820044	4921008
0	Affx-86820286	4922943
0	Affx-86815873	4930331
0	Affx-86789607	4972696
0	Affx-86794967	4975403
0	Affx-86777197	4975857
0	Affx-86842853	4976248
0	Affx-86834812	4976936
0	Affx-86787119	4983796
0	Affx-86798219	4986723
0	Affx-86794620	4988784
0	Affx-86829053	4990300
0	Affx-86815791	5002654
0	Affx-86794851	5033840
0	Affx-86795381	5037716
0	Affx-86820840	5038807
0	Affx-86792525	5042285
0	Affx-86787025	5066708
0	Affx-86794360	5067968
0	Affx-86780244	5068332
0	Affx-86825713	5071613
0	Affx-86789698	5074019
0	Affx-86785657	5074233
0	Affx-86806228	5074325
0	Affx-86815259	5075743
0	Affx-86785765	5077988
0	Affx-86827153	5078177
0	Affx-86780009	5096561
0	Affx-86812623	5096625
0	Affx-86796909	5096780
0	Affx-86783854	5097123
0	Affx-86808468	5097726
0	Affx-86790258	5099487
0	Affx-86826469	5100360
0	Affx-86815889	5117137
0	Affx-86786571	5123376
0	Affx-86778924	5156690
0	Affx-86820036	5166674
0	Affx-86815347	5187993
0	Affx-86790338	5229192
0	Affx-86817557	5230828
0	Affx-86778847	5334252
0	Affx-86833375	5344934
0	Affx-86836009	5354211
0	Affx-86840298	5354265
0	Affx-86793475	5495605
0	Affx-86778485	5496032
0	Affx-86813838	5496736
0	Affx-86818854	5497176
0	Affx-86826485	5499065
0	Affx-86836434	5532693
0	Affx-86824906	5533903
0	Affx-86792076	5574449
0	Affx-86796665	5575338
0	Affx-86781200	5622701
0	Affx-86779510	5709535
0	Affx-86839064	5731424
0	Affx-86833583	5905963
0	Affx-86830223	5919323
0	Affx-86818286	5961540
0	Affx-86830213	6018390
0	Affx-86800390	6048856
0	Affx-86787031	6058918
0	Affx-86817506	6125148
0	Affx-86835251	6160563
0	Affx-86830854	6160928
0	Affx-86829031	6230212
0	Affx-86826502	6235446
0	Affx-86787156	6276541
0	Affx-86816291	6276680
0	Affx-86793262	6277066
0	Affx-86775887	6277589
0	Affx-86797405	6281168
0	Affx-86838987	6302119
0	Affx-86819445	6303051
0	Affx-86778035	6304215
0	Affx-86798002	6304661
0	Affx-86843794	6305376
0	Affx-86814174	6306499
0	Affx-86784001	6321528
0	Affx-86808245	6321705
0	Affx-86775499	6322116
0	Affx-86819517	6325085
0	Affx-86779960	6325485
0	Affx-86812664	6325521
0	Affx-86840195	6328156
0	Affx-86824361	6329565
0	Affx-86808926	6357596
0	Affx-86808925	6357940
0	Affx-86808923	6359225
0	Affx-86783502	6359602
0	Affx-86792239	6360180
0	Affx-86834969	6360445
0	Affx-86843769	6360905
0	Affx-86830890	6361160
0	Affx-86835706	6383888
0	Affx-86794507	6383924
0	Affx-86824438	6453917
0	Affx-86826884	6455620
0	Affx-86831210	6549523
0	Affx-86788669	6570264
0	Affx-86831367	6571157
0	Affx-86825665	6620319
0	Affx-86795514	6653925
0	Affx-86775428	6679771
0	Affx-86826238	6681017
0	Affx-86835696	6706094
0	Affx-86815523	6706912
0	Affx-86833314	6732300
0	Affx-86828601	6739909
0	Affx-86841261	6750980
0	Affx-86818634	6751017
0	Affx-86776129	6779707
0	Affx-86775331	6780352
0	Affx-86820424	6780588
0	Affx-86775369	6781416
0	Affx-86796822	6787868
0	Affx-86836485	6875312
0	Affx-86790417	6875789
0	Affx-86827283	6877937
0	Affx-86781526	6931879
0	Affx-86777421	6933164
0	Affx-86814668	6934360
0	Affx-86779163	6955017
0	Affx-86788622	6955937
0	Affx-86782846	6959214
0	Affx-86809880	6961025
0	Affx-86809882	6961864
0	Affx-86788133	6983402
0	Affx-86815274	6984667
0	Affx-86789358	6985006
0	Affx-86837105	6985450
0	Affx-86791796	6985933
0	Affx-86830824	7059304
0	Affx-86776267	7138186
0	Affx-86791887	7138505
0	Affx-86796657	7155684
0	Affx-86825558	7211898
0	Affx-86817668	7332403
0	Affx-86814845	7522702
0	Affx-86830799	7524217
0	Affx-86844047	7524552
0	Affx-86777208	7524770
0	Affx-86781042	7683897
0	Affx-86824825	7726101
0	Affx-86841720	7766333
0	Affx-86816035	7766852
0	Affx-86841139	7773834
0	Affx-86835438	7773890
0	Affx-86830239	7780954
0	Affx-86785567	7781025
0	Affx-86807602	7795085
0	Affx-86807600	7796063
0	Affx-86784511	7796324
0	Affx-86821969	7796488
0	Affx-86824421	7827317
0	Affx-86788110	7828662
0	Affx-86781282	7851264
0	Affx-86820957	7852925
0	Affx-86811592	7856536
0	Affx-86782795	7880341
0	Affx-86809960	7880559
0	Affx-86818614	7881312
0	Affx-86828516	7882189
0	Affx-86822637	7882463
0	Affx-86828986	7908481
0	Affx-86828987	7908881
0	Affx-86795984	7920756
0	Affx-86825510	7962918
0	Affx-86823203	7976097
0	Affx-86842855	8009079
0	Affx-86821728	8009344
0	Affx-86782349	8009875
0	Affx-86799998	8010097
0	Affx-86810621	8010379
0	Affx-86829628	8035000
0	Affx-86785278	8035097
0	Affx-86806642	8037004
0	Affx-86832451	8037720
0	Affx-86789632	8049542
0	Affx-86835352	8063073
0	Affx-86822788	8079745
0	Affx-86836435	8085727
0	Affx-86817212	8090448
0	Affx-86831918	8101216
0	Affx-86828747	8101942
0	Affx-86777872	8104816
0	Affx-86791463	8105553
0	Affx-86794532	8106621
0	Affx-86775651	8106779
0	Affx-86793621	8112843
0	Affx-86830940	8113525
0	Affx-86833206	8114602
0	Affx-86814303	8115779
0	Affx-86775219	8143305
0	Affx-86776855	8143344
0	Affx-86840359	8145985
0	Affx-86819970	8146239
0	Affx-86795350	8193483
0	Affx-86840915	8194651
0	Affx-86792780	8194750
0	Affx-86793130	8210806
0	Affx-86839604	8245801
0	Affx-86775281	8247739
0	Affx-86826942	8455266
0	Affx-86839759	8456231
0	Affx-86821070	8457739
0	Affx-86835924	8571561
0	Affx-86827205	8635967
0	Affx-86822795	8688473
0	Affx-86830783	8793916
0	Affx-86834642	8814008
0	Affx-86828479	8844010
0	Affx-86785959	8844720
0	Affx-86805898	8844943
0	Affx-86786259	8849292
0	Affx-86805618	8849679
0	Affx-86831767	8849974
0	Affx-86833449	8850673
0	Affx-86792462	8851257
0	Affx-86780168	8857481
0	Affx-86828483	8857798
0	Affx-86824353	8858287
0	Affx-86812482	8859293
0	Affx-86799276	8864168
0	Affx-86782308	8867291
0	Affx-86810695	8871444
0	Affx-86839212	8872933
0	Affx-86806585	8875473
0	Affx-86785325	8875625
0	Affx-86794916	8876752
0	Affx-86776166	8907302
0	Affx-86815973	8913481
0	Affx-86828526	8922063
0	Affx-86780925	8939329
0	Affx-86829992	8941355
0	Affx-86816664	8946383
0	Affx-86817320	8948911
0	Affx-86832137	8952144
0	Affx-86833676	8953519
0	Affx-86832223	8975116
0	Affx-86791785	8996812
0	Affx-86810680	8997354
0	Affx-86833967	8998716
0	Affx-86810678	8999103
0	Affx-86782315	9004299
0	Affx-86842108	9036493
0	Affx-86795431	9038887
0	Affx-86830818	9067544
0	Affx-86829514	9083539
0	Affx-86780905	9083571
0	Affx-86835156	9091217
0	Affx-86819825	9092033
0	Affx-86834554	9095868
0	Affx-86820568	9096259
0	Affx-86793571	9111704
0	Affx-86838255	9113581
0	Affx-86787595	9118717
0	Affx-86828140	9135974
0	Affx-86843502	9136060
0	Affx-86821819	9215154
0	Affx-86828008	9255560
0	Affx-86776201	9257938
0	Affx-86800193	9263178
0	Affx-86831152	9263478
0	Affx-86822775	9267085
0	Affx-86831078	9290851
0	Affx-86825862	9291102
0	Affx-86827769	9311761
0	Affx-86825723	9437181
0	Affx-86776219	9505567
0	Affx-86783167	9507255
0	Affx-86789985	9553291
0	Affx-86815453	9557398
0	Affx-86836069	9560244
0	Affx-86833565	9630989
0	Affx-86830322	9688292
0	Affx-86793312	9698273
0	Affx-86810354	9702815
0	Affx-86793624	9703448
0	Affx-86795400	9704144
0	Affx-86839861	9759057
0	Affx-86798378	9760288
0	Affx-86792810	9769154
0	Affx-86816235	9818577
0	Affx-86802874	9819997
0	Affx-86802873	9820172
0	Affx-86802872	9820236
0	Affx-86802871	9820319
0	Affx-86802870	9820361
0	Affx-86802869	9820987
0	Affx-86797438	9820989
0	Affx-86802868	9821313
0	Affx-86802867	9821509
0	Affx-86802866	9821597
0	Affx-86802865	9821676
0	Affx-86802864	9821713
0	Affx-86802863	9821844
0	Affx-86832061	9822463
0	Affx-86802876	9823257
0	Affx-86802875	9823406
0	Affx-86790629	9823562
0	Affx-86802862	9823660
0	Affx-86788668	9826700
0	Affx-86819262	9834185
0	Affx-86823398	9835398
0	Affx-86827159	9837612
0	Affx-86775316	9854432
0	Affx-86836491	9866030
0	Affx-86792216	9867107
0	Affx-86810709	9868792
0	Affx-86782299	9869966
0	Affx-86810707	9870178
0	Affx-86792617	9870617
0	Affx-86787503	9874156
0	Affx-86776526	9874339
0	Affx-86804406	9876225
0	Affx-86837353	9883651
0	Affx-86775277	9883684
0	Affx-86806056	9884851
0	Affx-86843757	9885048
0	Affx-86785829	9885356
0	Affx-86813435	9896116
0	Affx-86779029	9897125
0	Affx-86813431	9897412
0	Affx-86835157	9899105
0	Affx-86821889	9900178
0	Affx-86798598	9900367
0	Affx-86813433	9901687
0	Affx-86804712	9903175
0	Affx-86837492	9903505
0	Affx-86787185	9907934
0	Affx-86804709	9908204
0	Affx-86818592	9928781
0	Affx-86836129	9988061
0	Affx-86793139	9989590
0	Affx-86833742	10049229
